state_abbr,county_name,id,victory_margin
PA,Adams County,42001,0.364292079
PA,Allegheny County,42003,-0.164075606
PA,Armstrong County,42005,0.519838402
PA,Beaver County,42007,0.20061744
PA,Bedford County,42009,0.674012934
PA,Berks County,42011,0.101884798
PA,Blair County,42013,0.463799035
PA,Bradford County,42015,0.460411827
PA,Bucks County,42017,-0.00580316
PA,Butler County,42019,0.375476762
PA,Cambria County,42021,0.377482673
PA,Cameron County,42023,0.506916996
PA,Carbon County,42025,0.341109293
PA,Centre County,42027,-0.019311882
PA,Chester County,42029,-0.092282766
PA,Clarion County,42031,0.474171958
PA,Clearfield County,42033,0.495809372
PA,Clinton County,42035,0.348271447
PA,Columbia County,42037,0.327533454
PA,Crawford County,42039,0.385147485
PA,Cumberland County,42041,0.185690201
PA,Dauphin County,42043,-0.028173018
PA,Delaware County,42045,-0.219813785
PA,Elk County,42047,0.437924065
PA,Erie County,42049,0.020027294
PA,Fayette County,42051,0.309998877
PA,Forest County,42053,0.439532944
PA,Franklin County,42055,0.464806403
PA,Fulton County,42057,0.707696871
PA,Greene County,42059,0.417051153
PA,Huntingdon County,42061,0.506873205
PA,Indiana County,42063,0.356552163
PA,Jefferson County,42065,0.598134871
PA,Juniata County,42067,0.617573544
PA,Lackawanna County,42069,-0.033978976
PA,Lancaster County,42071,0.196858888
PA,Lawrence County,42073,0.280853162
PA,Lebanon County,42075,0.35554952
PA,Lehigh County,42077,-0.04444851
PA,Luzerne County,42079,0.196291748
PA,Lycoming County,42081,0.448343739
PA,McKean County,42083,0.472450552
PA,Mercer County,42085,0.250090737
PA,Mifflin County,42087,0.574976698
PA,Monroe County,42089,-0.003396822
PA,Montgomery County,42091,-0.211139936
PA,Montour County,42093,0.283889865
PA,Northampton County,42095,0.038157941
PA,Northumberland County,42097,0.435618084
PA,Perry County,42099,0.519217132
PA,Philadelphia County,42101,-0.669076646
PA,Pike County,42103,0.260415867
PA,Potter County,42105,0.636106468
PA,Schuylkill County,42107,0.433673307
PA,Snyder County,42109,0.472601482
PA,Somerset County,42111,0.559193955
PA,Sullivan County,42113,0.493055556
PA,Susquehanna County,42115,0.428645833
PA,Tioga County,42117,0.535710165
PA,Union County,42119,0.256724138
PA,Venango County,42121,0.423832368
PA,Warren County,42123,0.408760781
PA,Washington County,42125,0.25277219
PA,Wayne County,42127,0.396646546
PA,Westmoreland County,42129,0.313200176
PA,Wyoming County,42131,0.386696731
PA,York County,42133,0.292907316
